,case_study,brf,max_eval,prob_pas,q_indicator,value
223,train-ticket,moc_1.64,102,,HV,0.7518268074213665
224,train-ticket,moc_1.64,102,,HV,0.5579652277224229
218,train-ticket,moc_1.64,72,,HV,0.4779436233574846
220,train-ticket,moc_1.64,82,,HV,0.4684202084913531
219,train-ticket,moc_1.64,82,,HV,0.4623129990112622
61,train-ticket,moc_1.64,102,,IGD+,0.0482136521149426
62,train-ticket,moc_1.64,102,,IGD+,0.1315688552485423
58,train-ticket,moc_1.64,82,,IGD+,0.1571892305992697
57,train-ticket,moc_1.64,82,,IGD+,0.2041298110193785
56,train-ticket,moc_1.64,72,,IGD+,0.216171477416211
169,train-ticket,moc_1.64,102,,EP,0.1393621128852827
170,train-ticket,moc_1.64,102,,EP,0.3315136513335882
167,train-ticket,moc_1.64,82,,EP,0.3579193630591416
164,train-ticket,moc_1.64,72,,EP,0.3680656781791432
162,train-ticket,moc_1.64,72,,EP,0.4444029759841316
270,train-ticket,moc_1.64,72,,GSPREAD,0.1082411312961671
278,train-ticket,moc_1.64,102,,GSPREAD,0.1893303541803018
276,train-ticket,moc_1.64,102,,GSPREAD,0.2176745595963836
283,train-ticket,moc_1.23,82,,GSPREAD,0.25877823677281
285,train-ticket,moc_1.23,102,,GSPREAD,0.2689054368347954
243,simplified-cocome,moc_1.23,72,,HV,0.2466875120595935
250,simplified-cocome,moc_1.23,102,,HV,0.2202381768304794
239,simplified-cocome,moc_1.64,82,,HV,0.2185750585769733
241,simplified-cocome,moc_1.64,102,,HV,0.1780183497933029
247,simplified-cocome,moc_1.23,82,,HV,0.1772599303463368
81,simplified-cocome,moc_1.23,72,,IGD+,0.1440477388510422
77,simplified-cocome,moc_1.64,82,,IGD+,0.1835243184206658
85,simplified-cocome,moc_1.23,82,,IGD+,0.1969533655462705
74,simplified-cocome,moc_1.64,72,,IGD+,0.2034570747736636
88,simplified-cocome,moc_1.23,102,,IGD+,0.2040679424690872
181,simplified-cocome,moc_1.64,72,,EP,0.3365009547907006
189,simplified-cocome,moc_1.23,72,,EP,0.3426745708560803
185,simplified-cocome,moc_1.64,82,,EP,0.4417724927992497
180,simplified-cocome,moc_1.64,72,,EP,0.4454756627598725
186,simplified-cocome,moc_1.64,102,,EP,0.4709772296577767
295,simplified-cocome,moc_1.64,102,,GSPREAD,0.1251030787133635
305,simplified-cocome,moc_1.23,102,,GSPREAD,0.1452661239267538
298,simplified-cocome,moc_1.23,72,,GSPREAD,0.1697001386499929
301,simplified-cocome,moc_1.23,82,,GSPREAD,0.1700709772387084
294,simplified-cocome,moc_1.64,102,,GSPREAD,0.2052921780164108
254,simplified-cocome-newrel,moc_1.64,72,,HV,0.4971970826589252
257,simplified-cocome-newrel,moc_1.64,82,,HV,0.4169029505431104
263,simplified-cocome-newrel,moc_1.23,72,,HV,0.4103554211088396
266,simplified-cocome-newrel,moc_1.23,82,,HV,0.3306540839697668
262,simplified-cocome-newrel,moc_1.23,72,,HV,0.3294266225929832
92,simplified-cocome-newrel,moc_1.64,72,,IGD+,0.1048876473242457
101,simplified-cocome-newrel,moc_1.23,72,,IGD+,0.1053872893963071
95,simplified-cocome-newrel,moc_1.64,82,,IGD+,0.1550415761966405
107,simplified-cocome-newrel,moc_1.23,102,,IGD+,0.1830795557927129
100,simplified-cocome-newrel,moc_1.23,72,,IGD+,0.1882253444505858
209,simplified-cocome-newrel,moc_1.23,72,,EP,0.2276346273872089
200,simplified-cocome-newrel,moc_1.64,72,,EP,0.2996515679442508
212,simplified-cocome-newrel,moc_1.23,82,,EP,0.3214285714285714
215,simplified-cocome-newrel,moc_1.23,102,,EP,0.343205574912892
204,simplified-cocome-newrel,moc_1.64,102,,EP,0.4052121412603861
309,simplified-cocome-newrel,moc_1.64,82,,GSPREAD,0.0382246554225866
314,simplified-cocome-newrel,moc_1.64,102,,GSPREAD,0.1076030568624156
321,simplified-cocome-newrel,moc_1.23,102,,GSPREAD,0.123147316915679
318,simplified-cocome-newrel,moc_1.23,82,,GSPREAD,0.1349031144949004
319,simplified-cocome-newrel,moc_1.23,82,,GSPREAD,0.2420039892743346
