,case_study,brf,max_eval,prob_pas,q_indicator,value
8,train-ticket,moc_1.64,72,95,HV,0.3296449067729036
43,train-ticket,moc_1.64,82,95,HV,0.3049306024124152
44,train-ticket,moc_1.64,82,95,HV,0.2678984820427869
18,train-ticket,moc_1.64,72,80,HV,0.2665882700906473
68,train-ticket,moc_1.64,82,55,HV,0.2549732748453817
2,train-ticket,moc_1.64,72,95,IGD+,0.1352264103946762
38,train-ticket,moc_1.64,82,95,IGD+,0.1499027574759012
25,train-ticket,moc_1.64,72,55,IGD+,0.1571496040587016
37,train-ticket,moc_1.64,82,95,IGD+,0.1671417275008077
12,train-ticket,moc_1.64,72,80,IGD+,0.1731617267877216
5,train-ticket,moc_1.64,72,95,EP,0.2956806765550241
40,train-ticket,moc_1.64,82,95,EP,0.2960137498702808
41,train-ticket,moc_1.64,82,95,EP,0.3169642857142856
28,train-ticket,moc_1.64,72,55,EP,0.3169642857142856
63,train-ticket,moc_1.64,82,55,EP,0.3236607142857141
106,train-ticket,moc_1.64,102,55,GSPREAD,0.1254873968862047
83,train-ticket,moc_1.64,102,95,GSPREAD,0.1270853561733039
94,train-ticket,moc_1.64,102,80,GSPREAD,0.1446660135331746
107,train-ticket,moc_1.64,102,55,GSPREAD,0.1488018966788575
35,train-ticket,moc_1.64,72,55,GSPREAD,0.203504305509105
403,simplified-cocome,moc_1.23,102,95,HV,0.3865097203829463
404,simplified-cocome,moc_1.23,102,95,HV,0.3642949255506624
366,simplified-cocome,moc_1.23,82,95,HV,0.32879259019667
259,simplified-cocome,moc_1.64,82,95,HV,0.3043937342327393
427,simplified-cocome,moc_1.23,102,55,HV,0.3012913054269179
397,simplified-cocome,moc_1.23,102,95,IGD+,0.115459843803251
253,simplified-cocome,moc_1.64,82,95,IGD+,0.1407821519367118
360,simplified-cocome,moc_1.23,82,95,IGD+,0.14844874257702
324,simplified-cocome,moc_1.23,72,95,IGD+,0.1534109022733562
409,simplified-cocome,moc_1.23,102,80,IGD+,0.155209326478827
400,simplified-cocome,moc_1.23,102,95,EP,0.2857142857142857
363,simplified-cocome,moc_1.23,82,95,EP,0.3333333333333333
256,simplified-cocome,moc_1.64,82,95,EP,0.3333333333333333
327,simplified-cocome,moc_1.23,72,95,EP,0.3436247597127155
412,simplified-cocome,moc_1.23,102,80,EP,0.3993330970462896
275,simplified-cocome,moc_1.64,82,80,GSPREAD,0.2036228975343359
395,simplified-cocome,moc_1.23,82,55,GSPREAD,0.2252260516952034
371,simplified-cocome,moc_1.23,82,95,GSPREAD,0.233776075435596
322,simplified-cocome,moc_1.64,102,55,GSPREAD,0.238043507330995
429,simplified-cocome,moc_1.23,102,55,GSPREAD,0.2413048526503833
547,simplified-cocome-newrel,moc_1.23,72,95,HV,0.3604321351096232
584,simplified-cocome-newrel,moc_1.23,82,95,HV,0.3594148783078034
620,simplified-cocome-newrel,moc_1.23,102,95,HV,0.3425625939359391
572,simplified-cocome-newrel,moc_1.23,72,55,HV,0.3263839188420556
583,simplified-cocome-newrel,moc_1.23,82,95,HV,0.3052011786153293
541,simplified-cocome-newrel,moc_1.23,72,95,IGD+,0.0917670853410567
578,simplified-cocome-newrel,moc_1.23,82,95,IGD+,0.1051725941008169
614,simplified-cocome-newrel,moc_1.23,102,95,IGD+,0.1064064258816323
577,simplified-cocome-newrel,moc_1.23,82,95,IGD+,0.1328004947289433
566,simplified-cocome-newrel,moc_1.23,72,55,IGD+,0.1359041172057596
581,simplified-cocome-newrel,moc_1.23,82,95,EP,0.25
569,simplified-cocome-newrel,moc_1.23,72,55,EP,0.25
544,simplified-cocome-newrel,moc_1.23,72,95,EP,0.25
580,simplified-cocome-newrel,moc_1.23,82,95,EP,0.3138568039644329
436,simplified-cocome-newrel,moc_1.64,72,95,EP,0.3333333333333333
611,simplified-cocome-newrel,moc_1.23,82,55,GSPREAD,0.1459885084693096
537,simplified-cocome-newrel,moc_1.64,102,55,GSPREAD,0.1934881498392475
514,simplified-cocome-newrel,moc_1.64,102,95,GSPREAD,0.19679046340044
646,simplified-cocome-newrel,moc_1.23,102,55,GSPREAD,0.2003203236757792
633,simplified-cocome-newrel,moc_1.23,102,80,GSPREAD,0.203431337126094
