,solID,perfQ,#changes,pas,reliability,usecase,brf_clone,brf_moc,brf_mcnn,brf_moncnn,maxeval,probpas,clone,mcnn,action1,action2,action3,action4,target1,target2,target3,target4,moc,moncnn
284,4666,-0.0054914991234905,1.64,15.0,0.7862121811650199,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,3.0,0.0,clone,moc,clone,clone,New-Node_yrwrfqtlgz,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,0.0
272,3180,-0.0013625808114624,3.44,15.0,0.7863714168126202,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,2.0,0.0,moncnn,moc,clone,clone,saleStartedEvent,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,1.0
274,3332,-0.0013625808114624,3.44,15.0,0.7863714168126202,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,2.0,0.0,moncnn,moc,clone,clone,saleStartedEvent,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,1.0
286,4674,-0.0013625808114624,3.44,15.0,0.7863714168126202,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,2.0,0.0,moncnn,moc,clone,clone,saleStartedEvent,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,1.0
275,3338,-0.0013625808114624,3.44,15.0,0.7863714168126202,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,2.0,0.0,moncnn,moc,clone,clone,saleStartedEvent,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,1.0
285,4671,-0.0013625808114624,3.44,15.0,0.7863714168126202,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,2.0,0.0,moncnn,moc,clone,clone,saleStartedEvent,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,1.0
283,4663,-0.0013625808114624,3.44,15.0,0.7863714168126202,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,2.0,0.0,moncnn,moc,clone,clone,saleStartedEvent,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,1.0
281,3603,-0.0013625808114624,3.44,15.0,0.7863714168126202,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,2.0,0.0,moncnn,moc,clone,clone,saleStartedEvent,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,1.0
280,3594,-0.0013625808114624,3.44,15.0,0.7863714168126202,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,2.0,0.0,moncnn,moc,clone,clone,saleStartedEvent,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,1.0
279,3585,-0.0013625808114624,3.44,15.0,0.7863714168126202,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,2.0,0.0,moncnn,moc,clone,clone,saleStartedEvent,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,1.0
278,3584,-0.0013625808114624,3.44,15.0,0.7863714168126202,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,2.0,0.0,moncnn,moc,clone,clone,saleStartedEvent,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,1.0
276,3345,-0.0013625808114624,3.44,15.0,0.7863714168126202,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.80,2.0,0.0,moncnn,moc,clone,clone,saleStartedEvent,getTransaction,New-Node_xvkgysuwel,New-Node_oxlzscpxnd,1.0,1.0
160,119,0.0,0.0,0.0,0.763086383988203,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.00,4.0,0.0,clone,clone,clone,clone,EnterpriseServer_kuwttederu,New-Node_qolnkczynl,New-Node_qolnkczynl,New-Node_qolnkczynl_lpuompywue,0.0,0.0
174,1062,0.0,0.0,0.0,0.763086383988203,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.00,4.0,0.0,clone,clone,clone,clone,EnterpriseServer_kuwttederu,New-Node_qolnkczynl,New-Node_qolnkczynl,New-Node_qolnkczynl_lpuompywue,0.0,0.0
175,1294,0.0,0.0,0.0,0.763086383988203,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.00,3.0,1.0,mcnn,clone,clone,clone,New-Component_ardyassnyt,New-Node_qolnkczynl,New-Node_qolnkczynl,New-Node_qolnkczynl_lpuompywue,0.0,0.0
161,332,0.0,0.0,0.0,0.763086383988203,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.00,4.0,0.0,clone,clone,clone,clone,EnterpriseServer_kuwttederu,New-Node_qolnkczynl,New-Node_qolnkczynl,New-Node_qolnkczynl_lpuompywue,0.0,0.0
172,1030,0.0,0.0,0.0,0.763086383988203,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.00,4.0,0.0,clone,clone,clone,clone,EnterpriseServer_kuwttederu,New-Node_qolnkczynl,New-Node_qolnkczynl,New-Node_qolnkczynl_lpuompywue,0.0,0.0
171,954,0.0,0.0,0.0,0.763086383988203,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.00,4.0,0.0,clone,clone,clone,clone,EnterpriseServer_kuwttederu,New-Node_qolnkczynl,New-Node_qolnkczynl,New-Node_qolnkczynl_lpuompywue,0.0,0.0
169,946,0.0,0.0,0.0,0.763086383988203,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.00,4.0,0.0,clone,clone,clone,clone,EnterpriseServer_kuwttederu,New-Node_qolnkczynl,New-Node_qolnkczynl,New-Node_qolnkczynl_lpuompywue,0.0,0.0
168,743,0.0,0.0,0.0,0.763086383988203,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.00,4.0,0.0,clone,clone,clone,clone,EnterpriseServer_kuwttederu,New-Node_qolnkczynl,New-Node_qolnkczynl,New-Node_qolnkczynl_lpuompywue,0.0,0.0
167,742,0.0,0.0,0.0,0.763086383988203,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.00,4.0,0.0,clone,clone,clone,clone,EnterpriseServer_kuwttederu,New-Node_qolnkczynl,New-Node_qolnkczynl,New-Node_qolnkczynl_lpuompywue,0.0,0.0
166,735,0.0,0.0,0.0,0.763086383988203,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.00,4.0,0.0,clone,clone,clone,clone,EnterpriseServer_kuwttederu,New-Node_qolnkczynl,New-Node_qolnkczynl,New-Node_qolnkczynl_lpuompywue,0.0,0.0
165,734,0.0,0.0,0.0,0.763086383988203,simplified-cocome-newrel,1.23,1.64,1.45,1.80,82,0.00,4.0,0.0,clone,clone,clone,clone,EnterpriseServer_kuwttederu,New-Node_qolnkczynl,New-Node_qolnkczynl,New-Node_qolnkczynl_lpuompywue,0.0,0.0
