,solID,perfQ,#changes,pas,reliability,usecase,brf_clone,brf_moc,brf_mcnn,brf_moncnn,maxeval,probpas,moncnn,moc,clone,mcnn,action1,action2,action3,action4,target1,target2,target3,target4
1127,0.0,-0.1176461867962022,4.26,0.0,0.29279959,train-ticket,1.23,1.23,1.23,1.23,82,0.00,1.0,1.0,2.0,0.0,clone,moc,moncnn,clone,New-Node_ikmsmvsqwt,login,rebook,container-seat
134,0.0,-0.0743500884467003,3.69,0.0,0.6572941043577715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,clone,moc,clone,clone,New-Node_vqyrzvpfqx,updateUser,New-Node_xwphaiyuyc,container-travel-plan
143,0.0,-0.0743500884467003,3.69,0.0,0.6572941043577715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,clone,moc,clone,clone,New-Node_vqyrzvpfqx,updateUser,New-Node_xwphaiyuyc,container-travel-plan
140,0.0,-0.0588235294117647,6.720000000000001,0.0,0.7912570182077715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,1.0,1.0,2.0,0.0,clone,clone,moncnn,moc,New-Node_prymnxeheu,container-admin-user,findAll,modify
214,0.0,-0.050280627914118,3.03,15.0,0.3049057168614167,train-ticket,1.23,1.23,1.23,1.23,72,0.80,1.0,1.0,2.0,0.0,clone,moc,moncnn,clone,New-Node_xkrabjjpdw,rebook,generate,New-Node_seqcordwrf
221,0.0,-0.050280627914118,3.03,15.0,0.3049057168614167,train-ticket,1.23,1.23,1.23,1.23,72,0.80,1.0,1.0,2.0,0.0,clone,moc,moncnn,clone,New-Node_xkrabjjpdw,rebook,generate,New-Node_seqcordwrf
218,0.0,-0.050280627914118,3.03,15.0,0.3049057168614167,train-ticket,1.23,1.23,1.23,1.23,72,0.80,1.0,1.0,2.0,0.0,clone,moc,moncnn,clone,New-Node_xkrabjjpdw,rebook,generate,New-Node_seqcordwrf
428,0.0,-0.0491365657330603,2.46,14.0,0.6655310388077714,train-ticket,1.23,1.23,1.23,1.23,82,0.80,0.0,1.0,3.0,0.0,clone,clone,clone,moc,New-Node_eaascamfnd,container-station,container-station_nmcsfqqney,findAll
122,0.0,-0.0491365657330603,3.69,0.0,0.6627236706077715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,2.0,1.0,clone,clone,moc,mcnn,New-Node_lglyvggkue,continer-route-plan,findAll,New-Component_cstabrjloa
123,0.0,-0.0491365657330603,3.69,0.0,0.6627236706077715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,2.0,1.0,clone,clone,moc,mcnn,New-Node_lglyvggkue,continer-route-plan,findAll,New-Component_cstabrjloa
116,0.0,-0.0491365657330603,3.69,0.0,0.6627236706077715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,2.0,1.0,clone,clone,moc,mcnn,New-Node_lglyvggkue,continer-route-plan,findAll,New-Component_cstabrjloa
145,56.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
152,133.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
153,136.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
154,857.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
156,864.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
112,0.0,-0.0491365657330603,3.69,0.0,0.6627236706077715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,2.0,1.0,clone,clone,moc,mcnn,New-Node_lglyvggkue,continer-route-plan,findAll,New-Component_cstabrjloa
157,869.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
423,0.0,-0.0491365657330603,2.46,14.0,0.6655310388077714,train-ticket,1.23,1.23,1.23,1.23,82,0.80,0.0,1.0,3.0,0.0,clone,clone,clone,moc,New-Node_eaascamfnd,container-station,container-station_nmcsfqqney,findAll
159,1117.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
13,0.0,-0.038059979906621,3.69,14.0,0.3023348505627286,train-ticket,1.23,1.23,1.23,1.23,72,0.55,1.0,0.0,3.0,0.0,clone,clone,clone,moncnn,New-Node_yeogtnmsru,container-sso,container-login,rebook
6,0.0,-0.038059979906621,3.69,14.0,0.3023348505627286,train-ticket,1.23,1.23,1.23,1.23,72,0.55,1.0,0.0,3.0,0.0,clone,clone,clone,moncnn,New-Node_yeogtnmsru,container-sso,container-login,rebook
390,0.0,-0.0259350355824629,6.06,14.0,0.4541190994000001,train-ticket,1.23,1.23,1.23,1.23,82,0.80,2.0,1.0,1.0,0.0,moc,clone,moncnn,moncnn,modify,container-login,rebook,login
394,0.0,-0.0259350355824629,6.06,14.0,0.4541190994000001,train-ticket,1.23,1.23,1.23,1.23,82,0.80,2.0,1.0,1.0,0.0,moc,clone,moncnn,moncnn,modify,container-login,rebook,login
904,0.0,-0.025616022595617,5.49,15.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,2.0,0.0,moc,clone,clone,moncnn,updateUser,container-station,container-station,findAll
898,0.0,-0.025616022595617,5.49,15.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,2.0,0.0,moc,clone,clone,moncnn,updateUser,container-station,container-station,findAll
31,0.0,-0.0132309323469624,9.18,14.0,0.7909815056077715,train-ticket,1.23,1.23,1.23,1.23,72,0.55,1.0,1.0,2.0,0.0,moc,clone,moncnn,clone,findAll,container-ticket-info,updateUser,container-rebook
21,0.0,-0.0132309323469624,9.18,14.0,0.7909815056077715,train-ticket,1.23,1.23,1.23,1.23,72,0.55,1.0,1.0,2.0,0.0,moc,clone,moncnn,clone,findAll,container-ticket-info,updateUser,container-rebook
879,0.0,-0.0049910030612091,9.18,16.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,1.0,1.0,moncnn,moc,clone,mcnn,modify,updateUser,container-login,Route-plan
877,0.0,-0.0049910030612091,9.18,16.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,1.0,1.0,moncnn,moc,clone,mcnn,modify,updateUser,container-login,Route-plan
878,0.0,-0.0049910030612091,9.18,16.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,1.0,1.0,moncnn,moc,clone,mcnn,modify,updateUser,container-login,Route-plan
873,0.0,-0.0049910030612091,9.18,16.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,1.0,1.0,moncnn,moc,clone,mcnn,modify,updateUser,container-login,Route-plan
868,0.0,-0.0049910030612091,9.18,16.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,1.0,1.0,moncnn,moc,clone,mcnn,modify,updateUser,container-login,Route-plan
