Move_Component_New_Node,Move_Operation_Component,Move_Operation_New_Component_New_Node,UMLCloneNode,size,perfQVar,perfQMean,#changes,relMean
1,0,1,2,88,0.00196,-0.211,5.66,-0.783
0,1,2,1,60,0.00591,-0.158,5.15,-0.799
0,1,0,3,57,0.00391,-0.176,7.38,-0.801
1,1,0,2,2,0.02757,-0.189,3.08,-0.764
0,0,1,3,61,0.00679,-0.238,5.02,-0.793
0,1,1,2,78,0.00589,-0.134,4.59,-0.679
0,0,2,2,22,0.0026,-0.19,5.09,-0.825
0,0,3,1,34,0.00119,-0.081,4.27,-0.907
1,1,1,1,68,0.00644,-0.108,4.99,-0.822
1,0,2,1,39,0.00305,-0.145,4.51,-0.831
0,0,0,4,10,0.00503,-0.241,4.92,-0.763
1,1,2,0,41,0.00307,-0.13,5.43,-0.867
1,0,0,3,16,0.00017,-0.313,8.38,-0.763
