Move_Component_New_Node,Move_Operation_Component,Move_Operation_New_Component_New_Node,UMLCloneNode,size,perfQVar,perfQMean,#changes,relMean
0,1,1,2,114,0.01011,-0.234,5.36,-0.993
1,0,2,1,12,0.0019,-0.195,6.76,-0.996
1,1,0,2,108,0.00581,-0.164,5.33,-0.989
1,0,1,2,28,0.0068,-0.181,4.66,-0.98
0,1,2,1,34,0.00325,-0.165,5.21,-0.99
0,1,0,3,59,0.00654,-0.207,5.27,-0.986
0,0,0,4,8,0.00837,-0.283,4.61,-0.994
0,0,1,3,60,0.00538,-0.234,6.46,-0.994
0,0,2,2,20,0.00118,-0.189,5.23,-0.984
1,0,0,3,38,0.00288,-0.248,7.74,-0.989
1,1,1,1,65,0.01366,-0.165,5.26,-0.977
0,0,3,1,13,0.00098,-0.097,4.54,-0.996
0,1,3,0,2,0.0,-0.131,4.92,-0.995
1,1,2,0,15,0.0,-0.176,6.15,-0.998
