solID,perfQ,#changes,pas,reliability
4777,-0.0585451257072608,3.69,16.0,-0.8341592692492926
4934,-0.33662287958202086,6.15,13.0,-0.7632430802831613
4942,-0.0585451257072608,3.69,16.0,-0.8341592692492926
5012,-0.0585451257072608,3.69,16.0,-0.8341592692492926
5024,-0.0585451257072608,3.69,16.0,-0.8341592692492926
5031,-0.33662287958202086,6.15,13.0,-0.7632430802831613
5035,-0.0585451257072608,3.69,16.0,-0.8341592692492926
5174,-0.1942044277397085,3.69,13.0,-0.763086383988203
5195,-0.33662287958202086,6.15,13.0,-0.7632430802831613
5206,-0.33662287958202086,6.15,13.0,-0.7632430802831613
5545,-0.1942044277397085,3.69,13.0,-0.763086383988203
6146,-0.33662287958202086,6.15,13.0,-0.7632430802831613
6150,-0.33662287958202086,6.15,13.0,-0.7632430802831613
6206,-0.33662287958202086,6.15,13.0,-0.7632430802831613
6210,-0.33662287958202086,6.15,13.0,-0.7632430802831613
6528,-0.33662287958202086,6.15,13.0,-0.7632430802831613
