case_study,brf,max_eval,prob_pas,q_indicator,value
train-ticket,moc_1.64,72,95,IGD+,0.22357923413982064
train-ticket,moc_1.64,72,95,IGD+,0.19003488590130146
train-ticket,moc_1.64,72,95,IGD+,0.13522641039467628
train-ticket,moc_1.64,72,95,EP,0.5
train-ticket,moc_1.64,72,95,EP,0.5
train-ticket,moc_1.64,72,95,EP,0.2956806765550241
train-ticket,moc_1.64,72,95,HV,0.1944943761169488
train-ticket,moc_1.64,72,95,HV,0.23644532739812568
train-ticket,moc_1.64,72,95,HV,0.32964490677290365
train-ticket,moc_1.64,72,95,GSPREAD,0.37575521957385255
train-ticket,moc_1.64,72,95,GSPREAD,0.46606450875687955
train-ticket,moc_1.64,72,95,GSPREAD,0.38385157731795827
train-ticket,moc_1.64,72,80,IGD+,0.17316172678772168
train-ticket,moc_1.64,72,80,IGD+,0.39203850194530937
train-ticket,moc_1.64,72,80,IGD+,0.7058853126558365
train-ticket,moc_1.64,72,80,EP,0.4136493528730728
train-ticket,moc_1.64,72,80,EP,0.501488095238095
train-ticket,moc_1.64,72,80,EP,0.9032738095238093
train-ticket,moc_1.64,72,80,HV,0.2665882700906473
train-ticket,moc_1.64,72,80,HV,0.09739846953468077
train-ticket,moc_1.64,72,80,HV,0.01167651817211103
train-ticket,moc_1.64,72,80,GSPREAD,0.5821559068852254
train-ticket,moc_1.64,72,80,GSPREAD,0.26233618293895755
train-ticket,moc_1.64,72,80,GSPREAD,0.43940978791706775
train-ticket,moc_1.64,72,55,IGD+,0.2543126564901975
train-ticket,moc_1.64,72,55,IGD+,0.15714960405870168
train-ticket,moc_1.64,72,55,IGD+,0.3229925346216285
train-ticket,moc_1.64,72,55,EP,0.5
train-ticket,moc_1.64,72,55,EP,0.31696428571428564
train-ticket,moc_1.64,72,55,EP,0.5509274710061511
train-ticket,moc_1.64,72,55,HV,0.2038873083642028
train-ticket,moc_1.64,72,55,HV,0.23925000099857333
train-ticket,moc_1.64,72,55,HV,0.1264990582649846
train-ticket,moc_1.64,72,55,GSPREAD,0.3512464830730507
train-ticket,moc_1.64,72,55,GSPREAD,0.4241092517335339
train-ticket,moc_1.64,72,55,GSPREAD,0.20350430550910503
train-ticket,moc_1.64,82,95,IGD+,0.2480454205642706
train-ticket,moc_1.64,82,95,IGD+,0.16714172750080772
train-ticket,moc_1.64,82,95,IGD+,0.1499027574759012
train-ticket,moc_1.64,82,95,EP,0.4790473004015156
train-ticket,moc_1.64,82,95,EP,0.2960137498702808
train-ticket,moc_1.64,82,95,EP,0.31696428571428564
train-ticket,moc_1.64,82,95,HV,0.19895140734556555
train-ticket,moc_1.64,82,95,HV,0.3049306024124152
train-ticket,moc_1.64,82,95,HV,0.26789848204278693
train-ticket,moc_1.64,82,95,GSPREAD,0.433495508211878
train-ticket,moc_1.64,82,95,GSPREAD,0.6174308194616495
train-ticket,moc_1.64,82,95,GSPREAD,0.2665644981104859
train-ticket,moc_1.64,82,80,IGD+,0.2922592766090753
train-ticket,moc_1.64,82,80,IGD+,0.3119433910644839
train-ticket,moc_1.64,82,80,IGD+,0.33100816718744136
train-ticket,moc_1.64,82,80,EP,0.4425948395360335
train-ticket,moc_1.64,82,80,EP,0.75
train-ticket,moc_1.64,82,80,EP,0.5
train-ticket,moc_1.64,82,80,HV,0.18585008973059586
train-ticket,moc_1.64,82,80,HV,0.12067562797544341
train-ticket,moc_1.64,82,80,HV,0.10927926637756519
train-ticket,moc_1.64,82,80,GSPREAD,0.5826900729195553
train-ticket,moc_1.64,82,80,GSPREAD,0.4492193369710161
train-ticket,moc_1.64,82,80,GSPREAD,0.5640917911207994
train-ticket,moc_1.64,82,55,IGD+,0.2579462681347944
train-ticket,moc_1.64,82,55,IGD+,0.17980495013246892
train-ticket,moc_1.64,82,55,IGD+,0.20477473687787676
train-ticket,moc_1.64,82,55,EP,0.32366071428571414
train-ticket,moc_1.64,82,55,EP,0.5
train-ticket,moc_1.64,82,55,EP,0.3474702380952381
train-ticket,moc_1.64,82,55,HV,0.2323212576264853
train-ticket,moc_1.64,82,55,HV,0.23696306613465534
train-ticket,moc_1.64,82,55,HV,0.25497327484538174
train-ticket,moc_1.64,82,55,GSPREAD,0.2822643724364049
train-ticket,moc_1.64,82,55,GSPREAD,0.5661359054903162
train-ticket,moc_1.64,82,55,GSPREAD,0.41287409834846894
train-ticket,moc_1.64,102,95,IGD+,0.21458728702237076
train-ticket,moc_1.64,102,95,IGD+,0.38348782550457156
