case_study,brf,max_eval,prob_pas,q_indicator,value
train-ticket,moc_1.64,72,95,IGD+,0.14797851176743854
train-ticket,moc_1.64,72,95,IGD+,0.11135341495719887
train-ticket,moc_1.64,72,95,IGD+,0.10109001858216363
train-ticket,moc_1.64,72,95,EP,0.28816308175559036
train-ticket,moc_1.64,72,95,EP,0.36147921309774633
train-ticket,moc_1.64,72,95,EP,0.2465635738831615
train-ticket,moc_1.64,72,95,HV,0.4052802827732799
train-ticket,moc_1.64,72,95,HV,0.42711904139403034
train-ticket,moc_1.64,72,95,HV,0.5051122796478091
train-ticket,moc_1.64,72,95,GSPREAD,0.3003347107575498
train-ticket,moc_1.64,72,95,GSPREAD,0.48158797556157273
train-ticket,moc_1.64,72,95,GSPREAD,0.3766001482043423
train-ticket,moc_1.64,72,80,IGD+,0.1004121760731498
train-ticket,moc_1.64,72,80,IGD+,0.3248957405055348
train-ticket,moc_1.64,72,80,IGD+,0.6805096830357182
train-ticket,moc_1.64,72,80,EP,0.33053381311347585
train-ticket,moc_1.64,72,80,EP,0.5790378006872852
train-ticket,moc_1.64,72,80,EP,0.8883161512027491
train-ticket,moc_1.64,72,80,HV,0.4823593264161751
train-ticket,moc_1.64,72,80,HV,0.12724099916933485
train-ticket,moc_1.64,72,80,HV,0.049000023980813635
train-ticket,moc_1.64,72,80,GSPREAD,0.8686978631806193
train-ticket,moc_1.64,72,80,GSPREAD,0.19612753928706342
train-ticket,moc_1.64,72,80,GSPREAD,0.38220967036786624
train-ticket,moc_1.64,72,55,IGD+,0.2964220802385433
train-ticket,moc_1.64,72,55,IGD+,0.07009949811963223
train-ticket,moc_1.64,72,55,IGD+,0.26586448099905946
train-ticket,moc_1.64,72,55,EP,0.5358447288733327
train-ticket,moc_1.64,72,55,EP,0.211340206185567
train-ticket,moc_1.64,72,55,EP,0.6417525773195876
train-ticket,moc_1.64,72,55,HV,0.2877117564489866
train-ticket,moc_1.64,72,55,HV,0.573144391617625
train-ticket,moc_1.64,72,55,HV,0.24155530313743184
train-ticket,moc_1.64,72,55,GSPREAD,0.3678151699780763
train-ticket,moc_1.64,72,55,GSPREAD,0.37904257280502013
train-ticket,moc_1.64,72,55,GSPREAD,0.14144965559764708
train-ticket,moc_1.64,72,00,IGD+,1.6695227377114727
train-ticket,moc_1.64,72,00,IGD+,0.22160544222769724
train-ticket,moc_1.64,72,00,IGD+,0.45151241823469734
train-ticket,moc_1.64,72,00,EP,2.0901085267014388
train-ticket,moc_1.64,72,00,EP,0.39261168384879735
train-ticket,moc_1.64,72,00,EP,0.6332707135473659
train-ticket,moc_1.64,72,00,HV,0.0
train-ticket,moc_1.64,72,00,HV,0.36831120435916165
train-ticket,moc_1.64,72,00,HV,0.18384632771718418
train-ticket,moc_1.64,72,00,GSPREAD,1.0
train-ticket,moc_1.64,72,00,GSPREAD,0.4489514506307622
train-ticket,moc_1.64,72,00,GSPREAD,0.12446306952462445
train-ticket,moc_1.64,82,95,IGD+,0.18679755678490995
train-ticket,moc_1.64,82,95,IGD+,0.17387055471123997
train-ticket,moc_1.64,82,95,IGD+,0.10625536887807242
train-ticket,moc_1.64,82,95,EP,0.34450171821305836
train-ticket,moc_1.64,82,95,EP,0.3702162550467776
train-ticket,moc_1.64,82,95,EP,0.211340206185567
train-ticket,moc_1.64,82,95,HV,0.4718283074953893
train-ticket,moc_1.64,82,95,HV,0.39746247453010186
train-ticket,moc_1.64,82,95,HV,0.5781127869603998
train-ticket,moc_1.64,82,95,GSPREAD,0.5302210578978532
train-ticket,moc_1.64,82,95,GSPREAD,0.5420962562955132
train-ticket,moc_1.64,82,95,GSPREAD,0.31905946677906344
train-ticket,moc_1.64,82,80,IGD+,0.3257482952239941
train-ticket,moc_1.64,82,80,IGD+,0.1353876515736402
train-ticket,moc_1.64,82,80,IGD+,0.16498801526163845
train-ticket,moc_1.64,82,80,EP,0.4947201689999969
train-ticket,moc_1.64,82,80,EP,0.29810996563573877
train-ticket,moc_1.64,82,80,EP,0.42090404636820533
train-ticket,moc_1.64,82,80,HV,0.18239944862323693
train-ticket,moc_1.64,82,80,HV,0.5015787056883061
train-ticket,moc_1.64,82,80,HV,0.409499309828195
train-ticket,moc_1.64,82,80,GSPREAD,0.5237803507549377
train-ticket,moc_1.64,82,80,GSPREAD,0.29319624677207123
train-ticket,moc_1.64,82,80,GSPREAD,0.49584725217177456
train-ticket,moc_1.64,82,55,IGD+,0.31861593764124724
train-ticket,moc_1.64,82,55,IGD+,0.09984741011115122
train-ticket,moc_1.64,82,55,IGD+,0.14736374756535575
train-ticket,moc_1.64,82,55,EP,0.6173019778591097
train-ticket,moc_1.64,82,55,EP,0.2842659498114166
train-ticket,moc_1.64,82,55,EP,0.38920616184149714
train-ticket,moc_1.64,82,55,HV,0.22744041687747318
train-ticket,moc_1.64,82,55,HV,0.5477476489636467
train-ticket,moc_1.64,82,55,HV,0.4072329822091886
train-ticket,moc_1.64,82,55,GSPREAD,0.3172971379103268
train-ticket,moc_1.64,82,55,GSPREAD,0.2693697666436673
train-ticket,moc_1.64,82,55,GSPREAD,0.25335354991432385
train-ticket,moc_1.64,82,00,IGD+,0.21482333652824087
train-ticket,moc_1.64,82,00,IGD+,0.18547951369922425
train-ticket,moc_1.64,82,00,IGD+,0.16378082093042995
train-ticket,moc_1.64,82,00,EP,0.352233676975945
train-ticket,moc_1.64,82,00,EP,0.4711322533901917
train-ticket,moc_1.64,82,00,EP,0.5028301379168999
train-ticket,moc_1.64,82,00,HV,0.30951840255370644
