case_study,brf,max_eval,q_indicator,value
train-ticket,moc_1.64,72,SPREAD,1.0
train-ticket,moc_1.64,72,SPREAD,1.3646639637797362
train-ticket,moc_1.64,72,SPREAD,1.5083026863259108
train-ticket,moc_1.64,82,SPREAD,1.302925321005615
train-ticket,moc_1.64,82,SPREAD,1.3252916757070254
train-ticket,moc_1.64,82,SPREAD,1.2488486791664353
train-ticket,moc_1.64,102,SPREAD,1.3202487935531255
train-ticket,moc_1.64,102,SPREAD,1.5672997917567
train-ticket,moc_1.64,102,SPREAD,1.372982939799033
train-ticket,moc_1.23,72,SPREAD,1.3810261206159864
train-ticket,moc_1.23,72,SPREAD,1.3541720382732225
train-ticket,moc_1.23,72,SPREAD,1.3771368842236473
train-ticket,moc_1.23,82,SPREAD,1.4319922125649787
train-ticket,moc_1.23,82,SPREAD,1.2191759007764822
train-ticket,moc_1.23,82,SPREAD,1.3180137119143405
train-ticket,moc_1.23,102,SPREAD,1.3962037368156435
train-ticket,moc_1.23,102,SPREAD,1.4184394483057663
train-ticket,moc_1.23,102,SPREAD,1.3506866534594446
simplified-cocome,moc_1.64,72,SPREAD,1.4018242581347122
simplified-cocome,moc_1.64,72,SPREAD,1.2769641047390636
simplified-cocome,moc_1.64,72,SPREAD,1.3341184779589828
simplified-cocome,moc_1.64,82,SPREAD,1.3792567300355532
simplified-cocome,moc_1.64,82,SPREAD,1.0
simplified-cocome,moc_1.64,82,SPREAD,1.2390858796716342
simplified-cocome,moc_1.64,102,SPREAD,1.0
simplified-cocome,moc_1.64,102,SPREAD,1.3579505641073808
simplified-cocome,moc_1.64,102,SPREAD,1.2534473118718248
simplified-cocome,moc_1.23,72,SPREAD,1.6229917840026604
simplified-cocome,moc_1.23,72,SPREAD,1.2556473608950875
simplified-cocome,moc_1.23,72,SPREAD,1.1643444814572972
simplified-cocome,moc_1.23,82,SPREAD,1.2663455852014258
simplified-cocome,moc_1.23,82,SPREAD,1.0384229196638357
simplified-cocome,moc_1.23,82,SPREAD,1.0
simplified-cocome,moc_1.23,102,SPREAD,1.3636533735578313
simplified-cocome,moc_1.23,102,SPREAD,1.0
simplified-cocome,moc_1.23,102,SPREAD,1.3781199161605113
simplified-cocome-newrel,moc_1.64,72,SPREAD,1.5975559312662295
simplified-cocome-newrel,moc_1.64,72,SPREAD,1.3462649693002127
simplified-cocome-newrel,moc_1.64,72,SPREAD,1.3518901151491902
simplified-cocome-newrel,moc_1.64,82,SPREAD,1.8370144432436797
simplified-cocome-newrel,moc_1.64,82,SPREAD,1.1945454564425102
simplified-cocome-newrel,moc_1.64,82,SPREAD,1.2441234075004626
simplified-cocome-newrel,moc_1.64,102,SPREAD,1.3392049503751262
simplified-cocome-newrel,moc_1.64,102,SPREAD,1.2854244913969706
simplified-cocome-newrel,moc_1.64,102,SPREAD,1.46006063119043
simplified-cocome-newrel,moc_1.23,72,SPREAD,1.0988395620005185
simplified-cocome-newrel,moc_1.23,72,SPREAD,1.199561458981643
simplified-cocome-newrel,moc_1.23,72,SPREAD,1.0
simplified-cocome-newrel,moc_1.23,82,SPREAD,1.1049761686375374
simplified-cocome-newrel,moc_1.23,82,SPREAD,1.205189055298043
simplified-cocome-newrel,moc_1.23,82,SPREAD,1.3332059337623343
simplified-cocome-newrel,moc_1.23,102,SPREAD,1.1672633199407267
simplified-cocome-newrel,moc_1.23,102,SPREAD,1.3376570434191222
simplified-cocome-newrel,moc_1.23,102,SPREAD,1.351708173670366
train-ticket,moc_1.64,72,IGD+,1.1582413107627907
train-ticket,moc_1.64,72,IGD+,0.21617147741621107
train-ticket,moc_1.64,72,IGD+,0.31389865959768104
train-ticket,moc_1.64,82,IGD+,0.23853842349031126
train-ticket,moc_1.64,82,IGD+,0.20412981101937852
train-ticket,moc_1.64,82,IGD+,0.15718923059926973
train-ticket,moc_1.64,102,IGD+,0.04821365211494268
train-ticket,moc_1.64,102,IGD+,0.21892473850117436
train-ticket,moc_1.64,102,IGD+,0.13156885524854234
train-ticket,moc_1.23,72,IGD+,0.46206947673213156
train-ticket,moc_1.23,72,IGD+,0.35561587184527427
train-ticket,moc_1.23,72,IGD+,0.3421279591736752
train-ticket,moc_1.23,82,IGD+,0.47502273071011736
train-ticket,moc_1.23,82,IGD+,0.37551692716035956
train-ticket,moc_1.23,82,IGD+,0.4197090968140308
train-ticket,moc_1.23,102,IGD+,0.47877609041518665
train-ticket,moc_1.23,102,IGD+,0.5620839892040438
train-ticket,moc_1.23,102,IGD+,0.35797796963321243
simplified-cocome,moc_1.64,72,IGD+,0.2034570747736636
simplified-cocome,moc_1.64,72,IGD+,0.25952311234675257
simplified-cocome,moc_1.64,72,IGD+,0.21942737576976967
simplified-cocome,moc_1.64,82,IGD+,0.6461062998299559
simplified-cocome,moc_1.64,82,IGD+,4.4407963379148665
simplified-cocome,moc_1.64,82,IGD+,0.18352431842066586
simplified-cocome,moc_1.64,102,IGD+,0.4075957229448076
simplified-cocome,moc_1.64,102,IGD+,0.27521248607935783
simplified-cocome,moc_1.64,102,IGD+,0.3098200553327638
simplified-cocome,moc_1.23,72,IGD+,0.14404773885104227
simplified-cocome,moc_1.23,72,IGD+,0.3351451168533487
simplified-cocome,moc_1.23,72,IGD+,0.3984807249155687
simplified-cocome,moc_1.23,82,IGD+,0.19695336554627055
simplified-cocome,moc_1.23,82,IGD+,3.5081426331733976
simplified-cocome,moc_1.23,82,IGD+,0.3450328046097028
simplified-cocome,moc_1.23,102,IGD+,0.31082406748877933
simplified-cocome,moc_1.23,102,IGD+,3.9973660305748857
simplified-cocome,moc_1.23,102,IGD+,0.20406794246908716
simplified-cocome-newrel,moc_1.64,72,IGD+,0.35911497643105383
simplified-cocome-newrel,moc_1.64,72,IGD+,0.4341959440067223
simplified-cocome-newrel,moc_1.64,72,IGD+,0.10488764732424569
simplified-cocome-newrel,moc_1.64,82,IGD+,0.4253344353403044
simplified-cocome-newrel,moc_1.64,82,IGD+,0.15504157619664058
simplified-cocome-newrel,moc_1.64,82,IGD+,0.265827876855949
simplified-cocome-newrel,moc_1.64,102,IGD+,0.27131411877811884
simplified-cocome-newrel,moc_1.64,102,IGD+,0.2123123096632912
simplified-cocome-newrel,moc_1.64,102,IGD+,0.47703102188068947
simplified-cocome-newrel,moc_1.23,72,IGD+,0.1882253444505858
simplified-cocome-newrel,moc_1.23,72,IGD+,0.10538728939630712
simplified-cocome-newrel,moc_1.23,72,IGD+,0.3590564776579961
simplified-cocome-newrel,moc_1.23,82,IGD+,0.1996115120397662
simplified-cocome-newrel,moc_1.23,82,IGD+,0.5435589322046063
simplified-cocome-newrel,moc_1.23,82,IGD+,0.25156109644434804
simplified-cocome-newrel,moc_1.23,102,IGD+,0.23882875427233657
simplified-cocome-newrel,moc_1.23,102,IGD+,0.2798237785312162
simplified-cocome-newrel,moc_1.23,102,IGD+,0.18307955579271298
train-ticket,moc_1.64,72,IGD,0.3100813387818298
train-ticket,moc_1.64,72,IGD,0.0954935386563875
train-ticket,moc_1.64,72,IGD,0.1258020899260425
train-ticket,moc_1.64,82,IGD,0.09603223227503745
train-ticket,moc_1.64,82,IGD,0.09724893073042887
train-ticket,moc_1.64,82,IGD,0.10829977175446301
train-ticket,moc_1.64,102,IGD,0.10024052087228331
train-ticket,moc_1.64,102,IGD,0.10125480474707482
train-ticket,moc_1.64,102,IGD,0.10537790511628362
train-ticket,moc_1.23,72,IGD,0.13632721576560952
train-ticket,moc_1.23,72,IGD,0.11999001532680192
train-ticket,moc_1.23,72,IGD,0.12284514881033685
train-ticket,moc_1.23,82,IGD,0.13998838254994464
train-ticket,moc_1.23,82,IGD,0.13828171056841146
train-ticket,moc_1.23,82,IGD,0.1518033669600466
train-ticket,moc_1.23,102,IGD,0.1358081371503765
train-ticket,moc_1.23,102,IGD,0.15438066804543252
train-ticket,moc_1.23,102,IGD,0.13195916620868048
simplified-cocome,moc_1.64,72,IGD,0.11801509639511054
simplified-cocome,moc_1.64,72,IGD,0.08380817403817117
simplified-cocome,moc_1.64,72,IGD,0.10827114266941068
simplified-cocome,moc_1.64,82,IGD,0.19003054846898165
simplified-cocome,moc_1.64,82,IGD,1.0503512809356934
simplified-cocome,moc_1.64,82,IGD,0.07683152629821507
simplified-cocome,moc_1.64,102,IGD,0.1220412150697398
simplified-cocome,moc_1.64,102,IGD,0.10676886681491336
simplified-cocome,moc_1.64,102,IGD,0.09932010675315263
simplified-cocome,moc_1.23,72,IGD,0.11363032519594259
simplified-cocome,moc_1.23,72,IGD,0.09906219062347793
simplified-cocome,moc_1.23,72,IGD,0.11658776592865573
simplified-cocome,moc_1.23,82,IGD,0.08712286103630498
simplified-cocome,moc_1.23,82,IGD,0.8332281671743855
simplified-cocome,moc_1.23,82,IGD,0.13700283214605208
simplified-cocome,moc_1.23,102,IGD,0.12272909730740166
simplified-cocome,moc_1.23,102,IGD,0.9495284316251813
simplified-cocome,moc_1.23,102,IGD,0.1122681370017988
simplified-cocome-newrel,moc_1.64,72,IGD,0.10132538743359486
simplified-cocome-newrel,moc_1.64,72,IGD,0.11908622480074989
simplified-cocome-newrel,moc_1.64,72,IGD,0.09339336305919355
simplified-cocome-newrel,moc_1.64,82,IGD,0.131970424530076
simplified-cocome-newrel,moc_1.64,82,IGD,0.09673407803468806
simplified-cocome-newrel,moc_1.64,82,IGD,0.09423695112620104
simplified-cocome-newrel,moc_1.64,102,IGD,0.08194502213530455
simplified-cocome-newrel,moc_1.64,102,IGD,0.0806281062627358
simplified-cocome-newrel,moc_1.64,102,IGD,0.13267637989329173
simplified-cocome-newrel,moc_1.23,72,IGD,0.09724738955271457
simplified-cocome-newrel,moc_1.23,72,IGD,0.050606365973315866
simplified-cocome-newrel,moc_1.23,72,IGD,0.1182822335231917
simplified-cocome-newrel,moc_1.23,82,IGD,0.09164727839582461
simplified-cocome-newrel,moc_1.23,82,IGD,0.14896608033443873
simplified-cocome-newrel,moc_1.23,82,IGD,0.08309035106097513
simplified-cocome-newrel,moc_1.23,102,IGD,0.09613236441778508
simplified-cocome-newrel,moc_1.23,102,IGD,0.09872045949915008
simplified-cocome-newrel,moc_1.23,102,IGD,0.06928463230182824
train-ticket,moc_1.64,72,EP,1.4667509953094557
train-ticket,moc_1.64,72,EP,0.36806567817914326
train-ticket,moc_1.64,72,EP,0.4444029759841316
train-ticket,moc_1.64,82,EP,0.3579193630591416
train-ticket,moc_1.64,82,EP,0.4450613326520907
train-ticket,moc_1.64,82,EP,0.44915222739948063
train-ticket,moc_1.64,102,EP,0.1393621128852827
train-ticket,moc_1.64,102,EP,0.4482865305926169
train-ticket,moc_1.64,102,EP,0.33151365133358823
train-ticket,moc_1.23,72,EP,0.6784642156187874
train-ticket,moc_1.23,72,EP,0.6352235238720841
train-ticket,moc_1.23,72,EP,0.5962043936763477
train-ticket,moc_1.23,82,EP,0.6628746297546674
train-ticket,moc_1.23,82,EP,0.6690447240206955
train-ticket,moc_1.23,82,EP,0.7509739125153365
train-ticket,moc_1.23,102,EP,0.5664380702256346
train-ticket,moc_1.23,102,EP,0.5872035411151739
train-ticket,moc_1.23,102,EP,0.5748202473424588
simplified-cocome,moc_1.64,72,EP,0.6666666666666665
simplified-cocome,moc_1.64,72,EP,0.33650095479070063
simplified-cocome,moc_1.64,72,EP,0.4454756627598725
simplified-cocome,moc_1.64,82,EP,0.9447154471544715
simplified-cocome,moc_1.64,82,EP,4.681510380180548
simplified-cocome,moc_1.64,82,EP,0.4417724927992497
simplified-cocome,moc_1.64,102,EP,0.6342732394358044
simplified-cocome,moc_1.64,102,EP,0.49880393784966687
simplified-cocome,moc_1.64,102,EP,0.4709772296577767
simplified-cocome,moc_1.23,72,EP,0.3426745708560803
simplified-cocome,moc_1.23,72,EP,0.6
simplified-cocome,moc_1.23,72,EP,0.6595579866693863
simplified-cocome,moc_1.23,82,EP,0.6
simplified-cocome,moc_1.23,82,EP,3.821565360211903
simplified-cocome,moc_1.23,82,EP,0.7999999999999999
simplified-cocome,moc_1.23,102,EP,0.633738252537854
simplified-cocome,moc_1.23,102,EP,4.321590881145015
simplified-cocome,moc_1.23,102,EP,0.5452879782808472
simplified-cocome-newrel,moc_1.64,72,EP,0.4962516308186897
simplified-cocome-newrel,moc_1.64,72,EP,0.6288695497023189
simplified-cocome-newrel,moc_1.64,72,EP,0.29965156794425085
simplified-cocome-newrel,moc_1.64,82,EP,0.6874643097072184
simplified-cocome-newrel,moc_1.64,82,EP,0.5139372822299652
simplified-cocome-newrel,moc_1.64,82,EP,0.5139372822299652
simplified-cocome-newrel,moc_1.64,102,EP,0.4052121412603861
simplified-cocome-newrel,moc_1.64,102,EP,0.45916955133237103
simplified-cocome-newrel,moc_1.64,102,EP,0.6444679094731883
simplified-cocome-newrel,moc_1.23,72,EP,0.42857142857142855
simplified-cocome-newrel,moc_1.23,72,EP,0.22763462738720897
simplified-cocome-newrel,moc_1.23,72,EP,0.6428571428571428
simplified-cocome-newrel,moc_1.23,82,EP,0.3214285714285714
simplified-cocome-newrel,moc_1.23,82,EP,0.8571428571428571
simplified-cocome-newrel,moc_1.23,82,EP,0.42857142857142855
simplified-cocome-newrel,moc_1.23,102,EP,0.4701901091835617
simplified-cocome-newrel,moc_1.23,102,EP,0.5357142857142857
simplified-cocome-newrel,moc_1.23,102,EP,0.34320557491289205
train-ticket,moc_1.64,72,HV,0.0
train-ticket,moc_1.64,72,HV,0.47794362335748464
train-ticket,moc_1.64,72,HV,0.32033156914335426
train-ticket,moc_1.64,82,HV,0.42885111031401596
train-ticket,moc_1.64,82,HV,0.4623129990112622
train-ticket,moc_1.64,82,HV,0.4684202084913531
train-ticket,moc_1.64,102,HV,0.7518268074213665
train-ticket,moc_1.64,102,HV,0.3808227836706462
train-ticket,moc_1.64,102,HV,0.5579652277224229
train-ticket,moc_1.23,72,HV,0.16777016164147585
train-ticket,moc_1.23,72,HV,0.26489707542675217
train-ticket,moc_1.23,72,HV,0.2860643074842104
train-ticket,moc_1.23,82,HV,0.16525576868525257
train-ticket,moc_1.23,82,HV,0.23913302864767763
train-ticket,moc_1.23,82,HV,0.19354334689906255
train-ticket,moc_1.23,102,HV,0.1500903348217862
train-ticket,moc_1.23,102,HV,0.05303245945611774
train-ticket,moc_1.23,102,HV,0.22968247203418943
simplified-cocome,moc_1.64,72,HV,0.1637072890141854
simplified-cocome,moc_1.64,72,HV,0.15010878160686042
simplified-cocome,moc_1.64,72,HV,0.16784267656392587
simplified-cocome,moc_1.64,82,HV,0.003693894967617032
simplified-cocome,moc_1.64,82,HV,0.0
simplified-cocome,moc_1.64,82,HV,0.21857505857697335
simplified-cocome,moc_1.64,102,HV,0.09029122391684134
simplified-cocome,moc_1.64,102,HV,0.1780183497933029
simplified-cocome,moc_1.64,102,HV,0.1309970075008802
simplified-cocome,moc_1.23,72,HV,0.24668751205959358
simplified-cocome,moc_1.23,72,HV,0.06819651094169897
simplified-cocome,moc_1.23,72,HV,0.09627953933036741
simplified-cocome,moc_1.23,82,HV,0.17725993034633683
simplified-cocome,moc_1.23,82,HV,0.0
simplified-cocome,moc_1.23,82,HV,0.07709166895567053
simplified-cocome,moc_1.23,102,HV,0.1302527386204206
simplified-cocome,moc_1.23,102,HV,0.0
simplified-cocome,moc_1.23,102,HV,0.2202381768304794
simplified-cocome-newrel,moc_1.64,72,HV,0.12012993521007125
simplified-cocome-newrel,moc_1.64,72,HV,0.10878848225674302
simplified-cocome-newrel,moc_1.64,72,HV,0.4971970826589252
simplified-cocome-newrel,moc_1.64,82,HV,0.0
simplified-cocome-newrel,moc_1.64,82,HV,0.41690295054311044
simplified-cocome-newrel,moc_1.64,82,HV,0.29089210654051656
simplified-cocome-newrel,moc_1.64,102,HV,0.2437625848611957
simplified-cocome-newrel,moc_1.64,102,HV,0.2880483565507551
simplified-cocome-newrel,moc_1.64,102,HV,0.02188481125557536
simplified-cocome-newrel,moc_1.23,72,HV,0.3294266225929832
simplified-cocome-newrel,moc_1.23,72,HV,0.41035542110883966
simplified-cocome-newrel,moc_1.23,72,HV,0.15549256340679948
simplified-cocome-newrel,moc_1.23,82,HV,0.33065408396976687
simplified-cocome-newrel,moc_1.23,82,HV,0.05498952165340295
simplified-cocome-newrel,moc_1.23,82,HV,0.24990679029353396
simplified-cocome-newrel,moc_1.23,102,HV,0.2596959924484735
simplified-cocome-newrel,moc_1.23,102,HV,0.22415724903599676
simplified-cocome-newrel,moc_1.23,102,HV,0.3062482587689542
train-ticket,moc_1.64,72,GSPREAD,1.0
train-ticket,moc_1.64,72,GSPREAD,0.5090484847960569
train-ticket,moc_1.64,72,GSPREAD,0.10824113129616714
train-ticket,moc_1.64,82,GSPREAD,0.45042784928848184
train-ticket,moc_1.64,82,GSPREAD,0.7054505072047808
train-ticket,moc_1.64,82,GSPREAD,0.5025577448398576
train-ticket,moc_1.64,102,GSPREAD,0.48185324681982716
train-ticket,moc_1.64,102,GSPREAD,0.21767455959638365
train-ticket,moc_1.64,102,GSPREAD,0.18933035418030184
train-ticket,moc_1.23,72,GSPREAD,0.3835624874374035
train-ticket,moc_1.23,72,GSPREAD,0.4956891849437509
train-ticket,moc_1.23,72,GSPREAD,0.2991011566941766
train-ticket,moc_1.23,82,GSPREAD,0.25877823677281003
train-ticket,moc_1.23,82,GSPREAD,0.2858666336507252
train-ticket,moc_1.23,82,GSPREAD,0.5723518216507033
train-ticket,moc_1.23,102,GSPREAD,0.4003132287646271
train-ticket,moc_1.23,102,GSPREAD,0.2689054368347954
train-ticket,moc_1.23,102,GSPREAD,0.6875125337150514
simplified-cocome,moc_1.64,72,GSPREAD,0.5040048110130624
simplified-cocome,moc_1.64,72,GSPREAD,0.38171968919451804
simplified-cocome,moc_1.64,72,GSPREAD,0.951908878950788
simplified-cocome,moc_1.64,82,GSPREAD,0.2746390351751153
simplified-cocome,moc_1.64,82,GSPREAD,1.0
simplified-cocome,moc_1.64,82,GSPREAD,0.3957532620405895
simplified-cocome,moc_1.64,102,GSPREAD,1.0
simplified-cocome,moc_1.64,102,GSPREAD,0.1251030787133635
simplified-cocome,moc_1.64,102,GSPREAD,0.20529217801641084
simplified-cocome,moc_1.23,72,GSPREAD,0.6292773105685423
simplified-cocome,moc_1.23,72,GSPREAD,0.16970013864999295
simplified-cocome,moc_1.23,72,GSPREAD,0.31239248256577656
simplified-cocome,moc_1.23,82,GSPREAD,0.17007097723870848
simplified-cocome,moc_1.23,82,GSPREAD,0.658481367731254
simplified-cocome,moc_1.23,82,GSPREAD,1.0
simplified-cocome,moc_1.23,102,GSPREAD,0.1452661239267538
simplified-cocome,moc_1.23,102,GSPREAD,1.0
simplified-cocome,moc_1.23,102,GSPREAD,0.5244230669948717
simplified-cocome-newrel,moc_1.64,72,GSPREAD,0.3098739160247289
simplified-cocome-newrel,moc_1.64,72,GSPREAD,0.45853298527926534
simplified-cocome-newrel,moc_1.64,72,GSPREAD,0.34218390235092033
simplified-cocome-newrel,moc_1.64,82,GSPREAD,0.03822465542258664
simplified-cocome-newrel,moc_1.64,82,GSPREAD,0.6584512074259224
simplified-cocome-newrel,moc_1.64,82,GSPREAD,0.40990808331209966
simplified-cocome-newrel,moc_1.64,102,GSPREAD,0.2784520426634502
simplified-cocome-newrel,moc_1.64,102,GSPREAD,0.41499336481289656
simplified-cocome-newrel,moc_1.64,102,GSPREAD,0.10760305686241566
simplified-cocome-newrel,moc_1.23,72,GSPREAD,0.44280784851360494
simplified-cocome-newrel,moc_1.23,72,GSPREAD,0.6528396839935142
simplified-cocome-newrel,moc_1.23,72,GSPREAD,1.0
simplified-cocome-newrel,moc_1.23,82,GSPREAD,0.4173054412390016
simplified-cocome-newrel,moc_1.23,82,GSPREAD,0.24200398927433467
simplified-cocome-newrel,moc_1.23,82,GSPREAD,0.1349031144949004
simplified-cocome-newrel,moc_1.23,102,GSPREAD,0.4560474996694881
simplified-cocome-newrel,moc_1.23,102,GSPREAD,0.12314731691567901
simplified-cocome-newrel,moc_1.23,102,GSPREAD,0.5653893572587216
