case_study,brf,max_eval,prob_pas,q_indicator,value
train-ticket,moc_1.64,72,95,IGD+,0.21036382452868924
train-ticket,moc_1.64,72,95,IGD+,0.17743739592811347
train-ticket,moc_1.64,72,95,IGD+,0.1642962571270715
train-ticket,moc_1.64,72,95,EP,0.33298143413424086
train-ticket,moc_1.64,72,95,EP,0.3915950440009174
train-ticket,moc_1.64,72,95,EP,0.4156378600823045
train-ticket,moc_1.64,72,95,HV,0.24670450013181222
train-ticket,moc_1.64,72,95,HV,0.3334418918576816
train-ticket,moc_1.64,72,95,HV,0.3177638318636387
train-ticket,moc_1.64,72,95,GSPREAD,0.3307817240963734
train-ticket,moc_1.64,72,95,GSPREAD,0.33580133765321973
train-ticket,moc_1.64,72,95,GSPREAD,0.4375894858957123
train-ticket,moc_1.64,72,80,IGD+,0.15147514159457637
train-ticket,moc_1.64,72,80,IGD+,0.4190191850213255
train-ticket,moc_1.64,72,80,IGD+,1.1498247344777737
train-ticket,moc_1.64,72,80,EP,0.4156378600823045
train-ticket,moc_1.64,72,80,EP,0.6265598714765688
train-ticket,moc_1.64,72,80,EP,1.665294924554184
train-ticket,moc_1.64,72,80,HV,0.32699332804105014
train-ticket,moc_1.64,72,80,HV,0.1119455445956194
train-ticket,moc_1.64,72,80,HV,0.0
train-ticket,moc_1.64,72,80,GSPREAD,0.8112104643977615
train-ticket,moc_1.64,72,80,GSPREAD,0.3212970706563554
train-ticket,moc_1.64,72,80,GSPREAD,0.44950626559909346
train-ticket,moc_1.64,72,55,IGD+,0.2725167334447458
train-ticket,moc_1.64,72,55,IGD+,0.1541157710834972
train-ticket,moc_1.64,72,55,IGD+,0.357991390560665
train-ticket,moc_1.64,72,55,EP,0.47187928669410156
train-ticket,moc_1.64,72,55,EP,0.5843621399176955
train-ticket,moc_1.64,72,55,EP,0.6406035665294926
train-ticket,moc_1.64,72,55,HV,0.22186640249017578
train-ticket,moc_1.64,72,55,HV,0.28795231668023996
train-ticket,moc_1.64,72,55,HV,0.13616137811963153
train-ticket,moc_1.64,72,55,GSPREAD,0.5550162896265269
train-ticket,moc_1.64,72,55,GSPREAD,0.4294747843964902
train-ticket,moc_1.64,72,55,GSPREAD,0.1198245275059026
train-ticket,moc_1.64,72,00,IGD+,1.1822031664551806
train-ticket,moc_1.64,72,00,IGD+,0.2700186686397461
train-ticket,moc_1.64,72,00,IGD+,0.4572006607536827
train-ticket,moc_1.64,72,00,EP,1.4398985613627855
train-ticket,moc_1.64,72,00,EP,0.49382716049382724
train-ticket,moc_1.64,72,00,EP,0.6748971193415637
train-ticket,moc_1.64,72,00,HV,0.0
train-ticket,moc_1.64,72,00,HV,0.20154996499830555
train-ticket,moc_1.64,72,00,HV,0.043434207533459994
train-ticket,moc_1.64,72,00,GSPREAD,1.0
train-ticket,moc_1.64,72,00,GSPREAD,0.5419506591708257
train-ticket,moc_1.64,72,00,GSPREAD,0.08424836654635914
train-ticket,moc_1.64,82,95,IGD+,0.31258303892192657
train-ticket,moc_1.64,82,95,IGD+,0.24551325076720043
train-ticket,moc_1.64,82,95,IGD+,0.17524625748718717
train-ticket,moc_1.64,82,95,EP,0.6406035665294926
train-ticket,moc_1.64,82,95,EP,0.47187928669410156
train-ticket,moc_1.64,82,95,EP,0.5843621399176955
train-ticket,moc_1.64,82,95,HV,0.12577703181444852
train-ticket,moc_1.64,82,95,HV,0.2276262513476859
train-ticket,moc_1.64,82,95,HV,0.2557963019416395
train-ticket,moc_1.64,82,95,GSPREAD,0.5027904470042283
train-ticket,moc_1.64,82,95,GSPREAD,0.4624151314027892
train-ticket,moc_1.64,82,95,GSPREAD,0.2007235656048019
train-ticket,moc_1.64,82,80,IGD+,0.3842667604318528
train-ticket,moc_1.64,82,80,IGD+,0.1864063843580702
train-ticket,moc_1.64,82,80,IGD+,0.24943350911710283
train-ticket,moc_1.64,82,80,EP,0.5706552229454244
train-ticket,moc_1.64,82,80,EP,0.49382716049382724
train-ticket,moc_1.64,82,80,EP,0.5720164609053499
train-ticket,moc_1.64,82,80,HV,0.13694464551676772
train-ticket,moc_1.64,82,80,HV,0.26244267991095266
train-ticket,moc_1.64,82,80,HV,0.21029384775487797
train-ticket,moc_1.64,82,80,GSPREAD,0.3296537884169293
train-ticket,moc_1.64,82,80,GSPREAD,0.274444404530589
train-ticket,moc_1.64,82,80,GSPREAD,0.5283996028741933
train-ticket,moc_1.64,82,55,IGD+,0.37144898567612633
train-ticket,moc_1.64,82,55,IGD+,0.12311942896275696
train-ticket,moc_1.64,82,55,IGD+,0.22860613295101995
train-ticket,moc_1.64,82,55,EP,0.5503511429873806
train-ticket,moc_1.64,82,55,EP,0.24691358024691365
train-ticket,moc_1.64,82,55,EP,0.6406035665294926
train-ticket,moc_1.64,82,55,HV,0.0945820483012277
train-ticket,moc_1.64,82,55,HV,0.38578957256843455
train-ticket,moc_1.64,82,55,HV,0.2172669789177722
train-ticket,moc_1.64,82,55,GSPREAD,0.32522748008274277
train-ticket,moc_1.64,82,55,GSPREAD,0.35982212967486815
train-ticket,moc_1.64,82,55,GSPREAD,0.31465772089298766
train-ticket,moc_1.64,82,00,IGD+,0.33596841462413246
train-ticket,moc_1.64,82,00,IGD+,0.2775294389093738
train-ticket,moc_1.64,82,00,IGD+,0.2110749326143613
