solID,operation,target,to,where
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oinweotuja,New-Node_xpshemthqg
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,UMLCloneNode,EnterpriseServer,EnterpriseServer_aoonummwqc,
0,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_eeunlhfswx,New-Node_crkkkencyj
0,UMLCloneNode,Printer,Printer_sorypzdbkp,
0,UMLCloneNode,StoreServer,StoreServer_gbolzsmiar,
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oinweotuja,New-Node_xpshemthqg
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oinweotuja,New-Node_xpshemthqg
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oinweotuja,New-Node_xpshemthqg
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,UMLCloneNode,CashBox,CashBox_nxfhdtgein,
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oinweotuja,New-Node_xpshemthqg
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oinweotuja,New-Node_xpshemthqg
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oinweotuja,New-Node_xpshemthqg
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oinweotuja,New-Node_xpshemthqg
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_iflpscjxuk,New-Node_tzslhsakmf
0,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_eeunlhfswx,New-Node_crkkkencyj
0,UMLCloneNode,Printer,Printer_sorypzdbkp,
0,UMLCloneNode,StoreServer,StoreServer_gbolzsmiar,
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oinweotuja,New-Node_xpshemthqg
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,UMLCloneNode,New-Node_yrwrfqtlgz,New-Node_yrwrfqtlgz_llouewpnhl,
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oinweotuja,New-Node_xpshemthqg
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oinweotuja,New-Node_xpshemthqg
0,Move_Operation_Component,getTransaction,AppStore,
0,UMLCloneNode,New-Node_xvkgysuwel,New-Node_xvkgysuwel_ffdheamwcy,
0,UMLCloneNode,New-Node_oxlzscpxnd,New-Node_oxlzscpxnd_ipqntvxyya,
0,UMLCloneNode,EnterpriseServer,EnterpriseServer_aoonummwqc,
0,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_eeunlhfswx,New-Node_crkkkencyj
0,UMLCloneNode,Printer,Printer_sorypzdbkp,
0,UMLCloneNode,StoreServer,StoreServer_gbolzsmiar,
